اباي	a b a i
ميۋزىكل	m i w z xe k l
مىندەتتى	m xe n d ye t t xe
مىندەتتەۋ	m xe n d ye t t ye w
مىندەتتەرى	m xe n d ye t t ye r xe
مىندەتتى تۇردە	m xe n d ye t t xe   t xu r d ye
مىندەتتى ەمەس	m xe n d ye t t xe   ye m ye s
مىنە	m xe n ye
مىندەتتەلگەن	m xe n d ye t t ye l g ye n
مىندەتتەمە	m xe n d ye t t ye m ye
مىندەتتەمەلەر	m xe n d ye t t ye m ye l ye r
مىندەتتەنەدى	m xe n d ye t t ye n ye d xe
مۇگەدەك	m xu g ye d ye k
ٴمىنۋ	m xe n w
مۇگەدەكتەر ارباسى	m xu g ye d ye k t ye r   a r b a s e
مۇگەدەكتەر	m xu g ye d ye k t ye r
مۇگەدەكتىك	m xu g ye d ye k t xe k
مىنە!	m xe n ye !
مىنەزى	m xe n ye z xe
ٴمىنسىز	m xe n s xe z
ٴمىنسىزدىگى	m xe n s xe z d xe g xe
مىنسىزدىك	m xe n s xe z d xe k
ٴمۇيىزدى جانۋارلار	m xu i xe z d xe   j a n w a r l a r
ٴمۇيىزدى	m xu i xe z d xe
مۇك	m xu k
ٴمۇيىزتۇمسىقتار	m xu i xe z t u m s e q t a r
مۇكجىدەك	m xu k j xe d ye k
مۇددەلەرى	m xu d d ye l ye r xe
مۇددەلى تاراپ	m xu d d ye l xe   t a r a p
ٴمۇيىز	m xu i xe z
مۇيىزدەر	m xu i xe z d ye r
مۇمكىندىگى	m xu m k xe n d xe g xe
مۇمكىن ەمەستىگى	m xu m k xe n   ye m ye s t xe g xe
مۇمكىن	m xu m k xe n
مۇمكىندىك	m xu m k xe n d xe k
مۇمكىندىگىنشە	m xu m k xe n d xe g xe n sh ye
مۇمكىندىك الىڭىز	m xu m k xe n d xe k   a l e n g e z
مۇمكىندىك بەردى	m xu m k xe n d xe k   b ye r d xe
مۇكتەر	m xu k t ye r
مۇلدە	m xu l d ye
مۇلدەم	m xu l d ye m
مۇلىك	m xu l xe k
مۇسىندىك	m xu s xe n d xe k
مۇسىندەر	m xu s xe n d ye r
ٴمۇسىن	m xu s xe n
مۇسىنشەسى	m xu s xe n sh ye s xe
ٴمۇسىنشى	m xu s xe n sh xe
مۇمكىندىك بەرۋ	m xu m k xe n d xe k   b ye r w
مۇمكىندىكتەر	m xu m k xe n d xe k t ye r
مۇمكىندىكتەرى	m xu m k xe n d xe k t ye r xe
مۇمكىندىكتەرىن كەڭەيتۋ	m xu m k xe n d xe k t ye r xe n   k ye n g ye i t w
مۇز ايدىنى	m u z   a i d e n e
مۇز	m u z
مۇشەسى	m xu sh ye s xe
مۇزدانۋ	m u z d a n w
مۇزدالعان	m u z d a l gh a n
مۇسىنشىلەر	m xu s xe n sh xe l ye r
ٴمۇساپىر	m xu s xa p xe r
ٴمۇفتى	m xu f t xe
مۇشەلەرى	m xu sh ye l ye r xe
مۇشەلىك	m xu sh ye l xe k
مۇزدىقتار	m u z d e q t a r
مۇزدىق	m u z d e q
مۇناي وڭدەۋ زاۋىتتارى	m u n a i   xo n g d ye w   z a w e t t a r e
مۇناي	m u n a i
مۇناي كەن ورنى	m u n a i   k ye n   o r n e
مۇزداتۋ	m u z d a t w
مۇزداتىلعان	m u z d a t e l gh a n
مۇزداتقىش	m u z d a t q e sh
مۇزداتقىشتار	m u z d a t q e sh t a r
مۇزداقتار	m u z d a q t a r
مۇزدى	m u z d e
مۇرا	m u r a
مۇندا	m u n d a
مۇنارالى	m u n a r a l e
مۇراگەر	m u r a g ye r
مۇرا قالدىردى	m u r a   q a l d e r d e
مۇراگەرلەر	m u r a g ye r l ye r
ٴمۇنايحىمىيالىق	m u n a i h xe m xe i a l e q
مۇنايشى	m u n a i sh e
مۇنايشىلار	m u n a i sh e l a r
مۇراعاتتار	m u r a gh a t t a r
مۇراعاتتالعان	m u r a gh a t t a l gh a n
مۇراعات	m u r a gh a t
مۇراعاتتاۋ	m u r a gh a t t a w
مۇرجا	m u r j a
مۇراگەرلىك	m u r a g ye r l xe k
مۇراجاي	m u r a j a i
مۇراجايلار	m u r a j a i l a r
مۇراجايى	m u r a j a i e
مۇرالار	m u r a l a r
مۇرىن سومكەسى	m u r e n   s xo m k ye s xe
ٴمۇرىن ساقىناسى	m u r e n   s a q xe n a s e
مۇرىن	m u r e n
مۇرىندى	m u r e n d e
مۇرىندارى	m u r e n d a r e
مۇرىندىق	m u r e n d e q
مۇرجاسى	m u r j a s e
مۇرت	m u r t
مۇرتتى	m u r t t e
مۇرتتى پاركەر	m u r t t e   p a r k ye r
مۇقابا	m u q a b a
مۇعالىمدەر	m u gh a l xe m d ye r
ٴمۇعالىم	m u gh a l xe m
مۇقابالار	m u q a b a l a r
ٴمۇقىيات زەرتتەلگەن	m u q xe i a t   z ye r t t ye l g ye n
ٴمۇحىت	m u h xe t
ٴمۇحىتتانۋ	m u h xe t t a n w
ٴمۇحىتتار	m u h xe t t a r
ٴمۇحىتتىق	m u h xe t t e q
مادەنىەتتەر	m xa d ye n xe ye t t ye r
مادەنى	m xa d ye n xe
مۇڭايتۋ	m u n g a i t w
ٴماجبۇر ەتەدى	m xa j b xu r   ye t ye d xe
مادەنىەتى	m xa d ye n xe ye t xe
ٴماجبۇر	m xa j b xu r
ٴمۇقىيات تىڭداۋ	m u q xe i a t   t e n g d a w
مۇقتاج	m u q t a j
مۇڭ	m u n g
مۇڭايدى	m u n g a i d e
ٴمازھاب	m xa z h h a b
ٴمازىرىن تاڭداڭىز	m xa z xe r xe n   t a n g d a n g e z
مازىرلەر	m xa z xe r l ye r
ٴمايىت	m xa i xe t
مايىتتەر	m xa i xe t t ye r
ٴمايىتحانالار	m xa i xe t h a n a l a r
ٴماجبۇر ەتتى	m xa j b xu r   ye t t xe
ماجبۇرلەۋ	m xa j b xu r l ye w
ٴماجبۇرلى	m xa j b xu r l xe
ٴماجبۇرلى تۇردە	m xa j b xu r l xe   t xu r d ye
مامىلە	m xa m xe l ye
مالىمەتتەر جىىنتىعى	m xa l xe m ye t t ye r   j xe e n t e gh e
مالىمەتتەر بازاسى	m xa l xe m ye t t ye r   b a z a s e
مامىلە جاسادى	m xa m xe l ye   j a s a d e
مامىلە جاساۋ	m xa m xe l ye   j a s a w
مالىمدەدى	m xa l xe m d ye d xe
مالىمدەيدى	m xa l xe m d ye i d xe
مالىمدەمە	m xa l xe m d ye m ye
مالىمدەمەلەر	m xa l xe m d ye m ye l ye r
مارتەبەلى	m xa r t ye b ye l xe
ٴمارمار	m xa r m xa r
ٴمانى بويىنشا	m xa n xe   b o i e n sh a
ماسەلەلەر	m xa s ye l ye l ye r
ماسەلە كوتەرۋ	m xa s ye l ye   k xo t ye r w
مامىلەلەر	m xa m xe l ye l ye r
ٴماندى	m xa n d xe
مانەرلى	m xa n ye r l xe
مانەرلىلىك	m xa n ye r l xe l xe k
ٴمانى	m xa n xe
ٴماڭگى جاسايدى	m xa n g g xe   j a s a i d e
ٴماڭگى اياز	m xa n g g xe   a i a z
ٴماڭگى جاسىل	m xa n g g xe   j a s e l
ٴماڭگى جاسايتىن	m xa n g g xe   j a s a i t e n
ماڭگىگە	m xa n g g xe g ye
ٴماسىحشى ەمەس	m xa s xe h sh xe   ye m ye s
ٴماتىن	m xa t xe n
ماتىندەر	m xa t xe n d ye r
ماتىندىك	m xa t xe n d xe k
ماتىنماندىك	m xa t xe n m xa n d xe k
ٴماڭگى	m xa n g g xe
ٴمولدىر ۇلدىرلەر	m xo l d xe r   xu l d xe r l ye r
ٴمولدىر	m xo l d xe r
مولشەرلەيدى	m xo l sh ye r l ye i d xe
مولدىرلىك	m xo l d xe r l xe k
مولشەرلەمەسى	m xo l sh ye r l ye m ye s xe
مولشەرلەڭىز	m xo l sh ye r l ye n g xe z
ماڭگىگە قالدىرۋ	m xa n g g xe g ye   q a l d e r w
ماڭگىلىك	m xa n g g xe l xe k
ماڭگىلىك ۇيقى	m xa n g g xe l xe k   u i q e
ماڭگىلىككە	m xa n g g xe l xe k k ye
ٴمورتابان	m xo r t a b a n
مورلەر	m xo r l ye r
ناۆەس	n a v ye s
ناۆە	n a v ye
ٴناۆىگاتور	n a v xe g a t o r
مولشەرى	m xo l sh ye r xe
ٴمور	m xo r
مورلەڭەن	m xo r l ye n g ye n
ناداندىق	n a d a n d e q
نادان	n a d a n
ناگون ەمەس	n a g o n   ye m ye s
ناەۆۋس	n a ye v w s
نازار اۋدارادى	n a z a r   a w d a r a d e
ٴناۆىگاتورلار	n a v xe g a t o r l a r
ٴناۆىگاتسىيا	n a v xe g a t s xe i a
ٴناۆىگاتسىيالار	n a v xe g a t s xe i a l a r
ٴناۆىگاتسىيالىق	n a v xe g a t s xe i a l e q
ناگ	n a g
نايزاعاي	n a i z a gh a i
نايزا	n a i z a
ٴناىف	n a xe f
نايزاعايلار	n a i z a gh a i l a r
ٴناماز وقىتىن	n a m a z   o q xe t e n
نازار اۋدارارلىق	n a z a r   a w d a r a r l e q
نازار اۋدارىڭىز	n a z a r   a w d a r e n g e z
نازاردان تىس قالدى	n a z a r d a n   t e s   q a l d e
نازاردان تىس قالۋ	n a z a r d a n   t e s   q a l w
ٴناىاد	n a xe a d
نانومەتر	n a n o m ye t r
نانو	n a n o
ناپەر	n a p ye r
نانىمدار	n a n e m d a r
ناپالما	n a p a l m a
نامىس	n a m e s
نان	n a n
نان جەمىسى	n a n   j ye m xe s xe
نان ونىمدەرى	n a n   xo n xe m d ye r xe
نانكىن	n a n k xe n
نارازىلىقتار	n a r a z e l e q t a r
نارازىلىق بىلدىرۋشىلەر	n a r a z e l e q   b xe l d xe r w sh xe l ye r
نارازىلىق بىلدىرۋدە	n a r a z e l e q   b xe l d xe r w d ye
نارۆال	n a r v a l
نارۆالدار	n a r v a l d a r
ناپولەون	n a p o l ye o n
نارازى	n a r a z e
نارازىلىق	n a r a z e l e q
ٴنارازىلىق بىلدىردى	n a r a z e l e q   b xe l d xe r d xe
نارىق	n a r e q
ٴنارتسىست	n a r t s xe s t
ٴنارتسىسسىزم	n a r t s xe s s xe z m
ٴنارتسىسس	n a r t s xe s s
نارتسىستىستىك	n a r t s xe s t xe s t xe k
نارتسىتتەر	n a r t s xe t t ye r
ناردا	n a r d a
نارك	n a r k
ناركوز	n a r k o z
ناركوز بەرۋ	n a r k o z   b ye r w
ناركولەپسىيا	n a r k o l ye p s xe i a
ٴناسىحاتتاۋشىلار	n a s xe h a t t a w sh e l a r
ٴناسىحاتتاۋشى	n a s xe h a t t a w sh e
ٴناسىحاتتالعان	n a s xe h a t t a l gh a n
ناستەر	n a s t ye r
ٴناسىبايگۇل	n a s e b a i g xu l
نارىقتىق	n a r e q t e q
نارىققا شىعارىلدى	n a r e q q a   sh e gh a r e l d e
ٴناسىحات	n a s xe h a t
ٴناسىحاتتايدى	n a s xe h a t t a i d e
ٴناتۋرىزم	n a t w r xe z m
ناتۋرالىستىك	n a t w r a l xe s t xe k
ناۋبايحانا	n a w b a i h a n a
ناۋالار	n a w a l a r
ٴناتراتىي	n a t r a t xe i
ٴناترىي	n a t r xe i
ٴناتۋرالىزم	n a t w r a l xe z m
ٴناتۋرالىست	n a t w r a l xe s t
ناشار	n a sh a r
ناۋقانشىلار	n a w q a n sh e l a r
ناۋقانشى	n a w q a n sh e
ناۋقاستار	n a w q a s t a r
ناۋقانى	n a w q a n e
نافتا	n a f t a
ناۋبايحانالار	n a w b a i h a n a l a r
ناۋبايشى	n a w b a i sh e
ناۋبايشىلار	n a w b a i sh e l a r
ناۋرىز	n a w r e z
ٴناۋتىلۋس	n a w t xe l w s
ناۋقاندار	n a w q a n d a r
ناشاقور	n a sh a q o r
ناشارلاۋى	n a sh a r l a w e
ناشارلاۋ	n a sh a r l a w
ناعىز ماحاببات	n a gh e z   m a h a b b a t
ناشاقورلار	n a sh a q o r l a r
ناشاقورلىق	n a sh a q o r l e q
ناشارلادى	n a sh a r l a d e
ناشارلار	n a sh a r l a r
ناشارلاتادى	n a sh a r l a t a d e
ناشارلاتاتىن	n a sh a r l a t a t e n
ناقىل سوزدەر	n a q e l   s xo z d ye r
ناقتىلىق	n a q t e l e q
ناقتىلاڭحان	n a q t e l a n gh a n
ناقىشتالعان	n a q e sh t a l gh a n
نە	n ye
ناقتى	n a q t e
ناقتىلايدى	n a q t e l a i d e
ناقتىلانباعان	n a q t e l a n b a gh a n
ناقتىلاندى	n a q t e l a n d e
نەۆرالگىيا	n ye v r a l g xe i a
نەبۋليارلى	n ye b w l i a r l e
نەۆروزدار	n ye v r o z d a r
نەۆرىت	n ye v r xe t
نەۆرولوگىيا	n ye v r o l o g xe i a
نە بولسا دا	n ye   b o l s a   d a
نەاندەرتالدىق	n ye a n d ye r t a l d e q
نەب	n ye b
نەبىش	n ye b xe sh
نەگاتىۆتەر	n ye g a t xe v t ye r
نەگاتىۆىزمدەر	n ye g a t xe v xe z m d ye r
نەگر	n ye g r
نەگە	n ye g ye
نەگروىد	n ye g r o xe d
نەۆرولوگىيالىق	n ye v r o l o g xe i a l e q
نەۆروتىزم	n ye v r o t xe z m
نەۆروتىكالىق	n ye v r o t xe k a l e q
نەگاتىۆىزم	n ye g a t xe v xe z m
نەگىزگى پرىنتسىپ	n ye g xe z g xe   p r xe n t s xe p
نەگىزگى پالۋبا	n ye g xe z g xe   p a l w b a
نەگىزگى جۇمىس	n ye g xe z g xe   j u m e s
نەگىزدەيدى	n ye g xe z d ye i d xe
نەگىزگى تاس	n ye g xe z g xe   t a s
نەگىزگى تىرەگى	n ye g xe z g xe   t xe r ye g xe
نەگىز	n ye g xe z
نەگىزگى	n ye g xe z g xe
نەگىزگى ادام	n ye g xe z g xe   a d a m
نەگىزگى بايانداماشى	n ye g xe z g xe   b a i a n d a m a sh e
نەگىزگى باعىت	n ye g xe z g xe   b a gh e t
نەگىزدەۋ	n ye g xe z d ye w
نەگىزدەرى	n ye g xe z d ye r xe
نەگىزدى	n ye g xe z d xe
نەگىزسىز	n ye g xe z s xe z
نەگىزىن قالاۋشى	n ye g xe z xe n   q a l a w sh e
نەگىزدەلگەن	n ye g xe z d ye l g ye n
نەگىزدەمە	n ye g xe z d ye m ye
نەگىزدەمەلەر	n ye g xe z d ye m ye l ye r
نەگىزدەر	n ye g xe z d ye r
نەيروندىق	n ye i r o n d e q
نەيرون	n ye i r o n
نەيروپسىحىاترىيا	n ye i r o p s xe h xe a t r xe i a
نەيترىنو	n ye i t r xe n o
نەگىزىن قالاۋشى اتا	n ye g xe z xe n   q a l a w sh e   a t a
نەگىزىنەن	n ye g xe z xe n ye n
نەيلون	n ye i l o n
نەيرو	n ye i r o
نەكروز	n ye k r o z
نەكەدەن تىس	n ye k ye d ye n   t e s
نەكەگە دەيىڭى	n ye k ye g ye   d ye i xe n g xe
نەكروزدار	n ye k r o z d a r
نەكروزى	n ye k r o z e
نەيتروندى قۇرايدى	n ye i t r o n d e   q u r a i d e
نەكە	n ye k ye
نەكە ادالدىعى	n ye k ye   a d a l d e gh e
نەكە ادالدىعىن بۇزۋشى	n ye k ye   a d a l d e gh e n   b u z w sh e
نەكە شارتى	n ye k ye   sh a r t e
نەلسون	n ye l s o n
نەللى	n ye l l xe
نەكتارىن	n ye k t a r xe n
نەماتود	n ye m a t o d
نەماتودتار	n ye m a t o d t a r
نەكرومانىيا	n ye k r o m a n xe i a
نەكرومانسەر	n ye k r o m a n s ye r
نەكرومانسەرلەر	n ye k r o m a n s ye r l ye r
نەكروپولىس	n ye k r o p o l xe s
نەكسۋس	n ye k s w s
نەمەسە باسقا	n ye m ye s ye   b a s q a
نەمەسە	n ye m ye s ye
نەمەرەسى	n ye m ye r ye s xe
نەمەسە سولاي	n ye m ye s ye   s o l a i
نەمقۇرايدى	n ye m q u r a i d e
نەمەزىيا	n ye m ye z xe i a
نەمەرە	n ye m ye r ye
نەمەرە اعالارى	n ye m ye r ye   a gh a l a r e
نەمەرە اعاسى	n ye m ye r ye   a gh a s e
نەمەرەلەرى	n ye m ye r ye l ye r xe
نەوكلاسسىكالىق	n ye o k l a s s xe k a l e q
نەودىمىي	n ye o d xe m xe i
نەو	n ye o
نەولوگىزم	n ye o l o g xe z m
نەولىتتىك	n ye o l xe t t xe k
نەولوگىزمدەر	n ye o l o g xe z m d ye r
نەمقۇرايدىلىق	n ye m q u r a i d e l e q
نەمقۇرايدىلىقپەن	n ye m q u r a i d e l e q p ye n
نەمقۇرايلى	n ye m q u r a i l e
نەمقۇرايلىلىق	n ye m q u r a i l e l e q
نەپوتىزم	n ye p o t xe z m
نەوفىتتەر	n ye o f xe t t ye r
نەوتەرىيالىق	n ye o t ye r xe i a l e q
نەپتۋندىق	n ye p t w n d e q
نەپتۋنىي	n ye p t w n xe i
نەولوگىيا	n ye o l o g xe i a
نەون	n ye o n
نەونات	n ye o n a t
نەوناتالدى	n ye o n a t a l d e
نەوپلازما	n ye o p l a z m a
نەسىە	n ye s xe ye
نەسەپاعار	n ye s ye p a gh a r
نەسەپ	n ye s ye p
نەسىە اكۋلاسى	n ye s xe ye   a k w l a s e
نەسىە بەرۋشى	n ye s xe ye   b ye r w sh xe
نەرۆ	n ye r v
نەرۆسىز	n ye r v s xe z
نەرۆتەنۋ	n ye r v t ye n w
نەرۆتەر	n ye r v t ye r
نەس	n ye s
نەسىەلىك تۇردە	n ye s xe ye l xe k   t xu r d ye
نەسىەلىك	n ye s xe ye l xe k
نەتەرىڭ	n ye t ye r xe n g
نەتبۋك	n ye t b w k
نەتىكالىق	n ye t xe k a l e q
نەسىە بەرۋشىلەر	n ye s xe ye   b ye r w sh xe l ye r
نەسىە سوزى	n ye s xe ye   s xo z xe
نەسىەلەر	n ye s xe ye l ye r
نەسىەلەۋ	n ye s xe ye l ye w
نىۆەلىرلەۋ	n xe v ye l xe r l ye w
ٴنىبۋلىڭ	n xe b w l xe n g
نىبەلدەر	n xe b ye l d ye r
ٴنىگىلىزم	n xe g xe l xe z m
نىگەر	n xe g ye r
نىگىلىستىك	n xe g xe l xe s t xe k
نەتىكەت	n ye t xe k ye t
نەفرىت	n ye f r xe t
نەفرىتتىك	n ye f r xe t t xe k
نىببەد	n xe b b ye d
نىكەل	n xe k ye l
نىكەلودەون	n xe k ye l o d ye o n
نىك	n xe k
نىكس	n xe k s
نىكەلدەر	n xe k ye l d ye r
نىكوتىن	n xe k o t xe n
نىەت	n xe ye t
نىەت بىلدىرگەن	n xe ye t   b xe l d xe r g ye n
نىەت ەتەدى	n xe ye t   ye t ye d xe
نىەتتىمىز	n xe ye t t xe m xe z
ٴنىمفومانىيا	n xe m f o m a n xe i a
ٴنىمفو	n xe m f o
نىمفەت	n xe m f ye t
نىنەپىندەر	n xe n ye p xe n d ye r
نىپپەرلەر	n xe p p ye r l ye r
نىكتەر	n xe k t ye r
ٴنىمبۋس	n xe m b w s
ٴنىمبۋستار	n xe m b w s t a r
ٴنىمفا	n xe m f a
ٴنىترات	n xe t r a t
ٴنىتىد	n xe t xe d
نىترلەۋ	n xe t r l ye w
نىترلەڭەن	n xe t r l ye n g ye n
ٴنىفت	n xe f t
ٴنىرۆانا	n xe r v a n a
ٴنىسى	n xe s xe
ٴنىت	n xe t
ٴنىتۆىت	n xe t v xe t
ٴنوگگىن	n o g g xe n
نوۆا	n o v a
نومەنكلاتۋرا	n o m ye n k l a t w r a
نوكتالار	n o k t a l a r
نومەنكلاتۋرالار	n o m ye n k l a t w r a l a r
نىفتىەر	n xe f t xe ye r
نوباي	n o b a i
نوبايى	n o b a i e
نونسەنس	n o n s ye n s
ٴنومىناتسىياسى	n o m xe n a t s xe i a s e
ٴنومىناتسىيالارىن ۇسىنادى	n o m xe n a t s xe i a l a r e n   u s e n a d e
نوركا	n o r k a
نورما	n o r m a
ٴنومىنالدى	n o m xe n a l d e
ٴنومىنانتتار	n o m xe n a n t t a r
ٴنومىناتىۆتى	n o m xe n a t xe v t xe
ٴنومىناتسىيا	n o m xe n a t s xe i a
ٴنومىناتسىيالارى	n o m xe n a t s xe i a l a r e
نوسترادامۋس	n o s t r a d a m w s
ٴنوستالگىيالىق	n o s t a l g xe i a l e q
ٴنوستالگىيا	n o s t a l g xe i a
نوسە	n o s ye
ٴنوتارىالدى	n o t a r xe a l d e
ٴنوتارىۋس	n o t a r xe w s
نورمالارى	n o r m a l a r e
نورمالاۋ	n o r m a l a w
نورمالىلىق	n o r m a l e l e q
ٴنورماتىۆتى	n o r m a t xe v t xe
نورماتىۆتىك	n o r m a t xe v t xe k
نۋب	n w b
نوقتالى	n o q t a l e
نوقتالار	n o q t a l a r
ٴنۋبىل	n w b xe l
نۋگات	n w g a t
نوۋتبۋك	n o w t b w k
نوۋتبۋكتەر	n o w t b w k t ye r
نوەل	n o ye l
نوع	n o gh
نۋكلەارلاڭحان	n w k l ye a r l a n gh a n
نۋكە	n w k ye
نۋدىستتەر	n w d xe s t t ye r
نۋمەراتسىيا	n w m ye r a t s xe i a
نۋكلەاتى	n w k l ye a t e
نۋللا	n w l l a
نۋگاتورلىق	n w g a t o r l e q
نۋگەت	n w g ye t
نۋگەتتەر	n w g ye t t ye r
ٴنۋدىزم	n w d xe z m
ٴنۋدىست	n w d xe s t
ٴنۋپتىيالار	n w p t xe i a l a r
ٴنۋپتىالدى	n w p t xe a l d e
نۋمپۋپ	n w m p w p
ٴنۋترىيا	n w t r xe i a
نىسان	n e s a n
نىساناعا الۋ	n e s a n a gh a   a l w
نۋمەرولوگىيا	n w m ye r o l o g xe i a
ٴنۋمىزمات	n w m xe z m a t
نۋمىزماتىكا	n w m xe z m a t xe k a
نۋمىزماتىكالىق	n w m xe z m a t xe k a l e q
